EVENT_FORK aa
EVENT_EXIT bb
EVENT_BIND cc
EVENT_CHECK_FILE_ATTRIBUTES dd
EVENT_CONNECT ee
EVENT_MODIFY_PROCESS ff
EVENT_UPDATE gg
EVENT_CREATE_OBJECT hh
EVENT_LINK ii
EVENT_LOADLIBRARY jj
EVENT_CREATE_THREAD kk
EVENT_SHM ll
EVENT_READ mm
EVENT_RENAME nn
EVENT_WRITE_SOCKET_PARAMS oo
EVENT_TRUNCATE pp
EVENT_CLOSE qq
EVENT_SENDTO rr
EVENT_FLOWS_TO ss
EVENT_READ_SOCKET_PARAMS tt
EVENT_LSEEK uu
EVENT_CHANGE_PRINCIPAL vv
EVENT_ACCEPT ww
EVENT_MMAP xx
EVENT_MODIFY_FILE_ATTRIBUTES yy
EVENT_FCNTL zz
EVENT_OTHER ab
EVENT_MPROTECT cd
EVENT_CLONE ef
EVENT_RECVMSG gh
EVENT_SIGNAL ij
EVENT_UNLINK kl
EVENT_BOOT mn
EVENT_EXECUTE op
EVENT_UNIT qr
EVENT_OPEN st
EVENT_WRITE uv
EVENT_RECVFROM wx
EVENT_SENDMSG yz
