# normal abstract, 1:1 dataset, 50ep, 20len prompt, T5-small, 512 token input, 10 token output, 0.2 eval-ratio (88735, 4) (22183, 4)
final result: TP=61140, TN=993624, FP=26341, FN=15905
final matric: acc=0.9614898679136926, recall=0.7935622039068078, precision=0.6988946171168596, f1-score=0.7432259946756136

# using label/feature map, 1:1 dataset, 50 ep, 20len prompt, T5-small, 180 token input, 10 token output, 0.2 eval-ratio (88735, 4) (22183, 4)
final result: TP=46381, TN=1011349, FP=8616, FN=30664
final matric: acc=0.9641935807330836, recall=0.6019988318515154, precision=0.8433369092859611, f1-score=0.7025188955029461

# using label/feature map, 1:1 dataset, 50 ep, 50len prompt, T5-small, 450 token input, 10 token output, 0.2 eval-ratio (35492, 4) (8872, 4), CLLM
final result: TP=23681, TN=406556, FP=1429, FN=7136
final matric: acc=0.9804809458480135, recall=0.768439497679852, precision=0.9430904022301871, f1-score=0.8468539345933092

# using label/feature map, 1:1 dataset, 50 ep, 50len prompt, T5-small, 450 token input, 10 token output, 0.2 eval-ratio (35492, 4) (8872, 4), S2SLM
final result: TP=25566, TN=404161, FP=3824, FN=5251
final matric: acc=0.97931869043441, recall=0.8296070350780413, precision=0.8698877169105138, f1-score=0.8492700184363945

# using label/feature map, 1:2 dataset, 50 ep, 50len prompt, T5-small, 450 token input, 10 token output, independent eval-ratio (66546, 2) (6163, 2), S2SLM
final result: TP=24295, TN=406758, FP=1227, FN=6522
final matric: acc=0.9823405545097789, recall=0.7883635655644612, precision=0.9519238304208134, f1-score=0.86245762260601

# multigraph test on cadets, using trace and theia to train, 20 prompt len.final result: TP=51001, TN=208965, FP=172497, FN=713
final result: TP=51001, TN=208965, FP=172497, FN=713
final matric: acc=0.6001394352411029, recall=0.9862126310090111, precision=0.22819443574439144, f1-score=0.3706306411057657

# same as above, test on fivedirections
final result: TP=22347, TN=297878, FP=133590, FN=38806
final matric: acc=0.6500433396059039, recall=0.3654276977417298, precision=0.1433078743338656, f1-score=0.2058777465567276

